Date,Wind Speed,group1_windpower(kWh),group2_windpower(kWh),group3_windpower(kWh)
15-Dec,10.11,176946,190114,181315
16-Dec,9.23,158395,169276,211802
17-Dec,8.98,149873,152929,162843
18-Dec,8.81,149270,140444,160768
19-Dec,7.72,123310,118728,109118
20-Dec,7.99,128828,126852,118185
21-Dec,8.54,149707,146707,134508
22-Dec,9.32,185128,158260,160611
23-Dec,7.87,126774,127667,108643
24-Dec,8.53,144556,142967,133819
25-Dec,10.44,199170,192071,196901
26-Dec,10.85,204702,200932,191658
27-Dec,10.05,162817,180558,192190
28-Dec,8.2,114527,106910,116512
29-Dec,9.99,175878,135960,176497
30-Dec,10.58,180312,153120,172074
31-Dec,9.22,147023,106920,139774
1-Jan,9.3,156258,165978,173091
2-Jan,7.86,107214,118981,133241
3-Jan,9.33,140424,155676,170777
4-Jan,8.36,114505,137488,153753
5-Jan,7.47,91727,105796,112966
6-Jan,8.19,120898,137080,139886
7-Jan,10.86,197518,202269,219738
8-Jan,10.22,139061,147419,151964
9-Jan,8.43,143926,149864,135093
10-Jan,6.52,62886,73590,58011
11-Jan,8.08,118475,130340,4576
12-Jan,9.94,174517,149547,65893.33333
13-Jan,6.74,89996,90935,65893.33333
14-Jan,8.23,126111,123067,65893.33333
15-Jan,8.75,152391,94778,65893.33333
16-Jan,9.61,160148,164757,65893.33333
17-Jan,7.33,109498,107936,65893.33333
18-Jan,8.77,138118,134338,65893.33333
19-Jan,8.03,120941,122132,65893.33333
20-Jan,10.83,184913,202330,65893.33333
21-Jan,8.34,118561,126632,65893.33333
22-Jan,8.27,124181,135941,65893.33333
23-Jan,9.57,164842,166935,65893.33333
24-Jan,8.52,131079,135063,65893.33333
25-Jan,9.15,153289,155539,28647
26-Jan,8.33,128665,137838,24879.33333
27-Jan,9.56,162607,171203,58095.33333
28-Jan,8.16,121792,123756,58095.33333
29-Jan,9.32,163698,162778,58095.33333
30-Jan,8.95,148263,149628,58095.33333
31-Jan,7.81,110557,108980,58095.33333
1-Feb,6.56,87854,88075,58095.33333
2-Feb,9.1,151845,158919,58095.33333
3-Feb,10.96,204274,185870,58095.33333
4-Feb,8.37,129081,136759,58095.33333
5-Feb,9.43,160899,164685,58095.33333
6-Feb,9.48,151825,147983,58095.33333
7-Feb,8.17,121531,130197,58095.33333
8-Feb,9.01,152151,108254,58095.33333
9-Feb,8.86,138351,202743,23354
10-Feb,8.34,130845,136776,46708
11-Feb,7.08,106744,107861,104224
12-Feb,10.93,225898,221128,224982
13-Feb,10.25,212500,162061,231494
14-Feb,12.09,258290,309534,275704
15-Feb,10.76,231693,226063,255327
16-Feb,7.41,111453,120237,117202
17-Feb,7.61,117444,130477,112817
18-Feb,8.73,148715,171892,149852
19-Feb,7.7,103665,133475,123450
20-Feb,9.3,161817,186411,168969
21-Feb,9.49,162058,194724,180984
22-Feb,10.83,199352,230690,230989
23-Feb,10.34,193501,219508,181819
24-Feb,9.55,176398,194260,181195
25-Feb,7.05,117279,129845,119452
26-Feb,12.25,237771,261287,259519
27-Feb,11.81,216156,249550,254033
28-Feb,9.65,129480,144689,140329
29-Feb,6.19,90011,84631,74838
1-Mar,9.41,175382,188955,161789
2-Mar,9.21,160025,180279,165162
3-Mar,7.85,120643,131654,128888
4-Mar,8.22,102984,78578,106354
5-Mar,6.21,75316,42086,81960
6-Mar,8.74,153410,76080,161173
7-Mar,10.95,185855,287669,209101
8-Mar,11.87,238326,204470,257910
9-Mar,8.46,147738,131209,149330
10-Mar,9.99,191994,166254,191048
11-Mar,10.59,203304,177857,214787
12-Mar,6.74,128741,64868,95436
13-Mar,6.5,100107,293913,92019
14-Mar,7.03,97854,91178,93680
15-Mar,8.6,145057,96807,148604
16-Mar,6.5,79158,146326,105792
17-Mar,4.49,34682,40693,40895
18-Mar,4.91,46519,58643,63303
19-Mar,5.09,53909,60597,56085
20-Mar,7.03,90757,103088,107689
21-Mar,3.8,32584,36579,53526
22-Mar,5.24,53681,55561,80640
23-Mar,2.6,10018,11220,9754
24-Mar,4.09,29707,27056,25797
25-Mar,4.83,66093,64818,58418
26-Mar,9.14,162166,175471,165772
27-Mar,8.23,120442,143834,138881
28-Mar,6.29,80209,86696,75644
29-Mar,6.53,88362,93209,97809
30-Mar,5.88,68915,80473,93274
31-Mar,8.07,122119,128048,134689
1-Apr,8.39,123000,141522,102907
2-Apr,9.56,123221,145568,137408
3-Apr,10.04,155744,189107,184759
4-Apr,8.77,136756,164953,148571
5-Apr,7.78,98427,129513,127343
6-Apr,7.62,100258,125931,106684
7-Apr,9.41,143987,170623,165100
8-Apr,8.56,113764,140855,135028
9-Apr,6.85,75668,44318,93321
10-Apr,6.6,60255,116813,73338
11-Apr,6.35,89943,83178,96572
12-Apr,9.67,163446,142845,165493
13-Apr,6.13,80822,74748,61069
14-Apr,5.87,62245,75387,66552
15-Apr,5.05,58315,57948,45727
16-Apr,5.85,89319,86593,70744
17-Apr,5.26,49879,56924,41774
18-Apr,4.6,42105,45637,51558
19-Apr,4.21,40822,43277,37860
20-Apr,5.08,50603,48356,49874
21-Apr,5.74,94779,82485,72722
22-Apr,7.04,126897,127192,100093
23-Apr,7.43,122329,131331,110158
24-Apr,4.9,60763,55966,33583
25-Apr,6.56,104984,111405,95856
26-Apr,4.71,38961,47168,47711
27-Apr,5.57,52177,65671,59822
28-Apr,2.2,6009,3549,2788
29-Apr,4.88,40307,48848,71137
30-Apr,3.57,14897,22381,31643
1-May,5.83,61183,69968,90884
2-May,4.08,18656,22441,25497
3-May,4.88,54144,58821,49750
4-May,4.88,38799,53056,53957
5-May,5.39,64334,83701,72526
6-May,6.18,66542,88955,77831
7-May,4.83,46361,57493,56725
